Capas,Unidades,Activación,Optimizador,LR,ValAccuracy,Val Precision,Val Loss,Épocas,Tiempo(s)
1,128,ReLU,Adam,0.001,0.8547,0.8817,0.4406,3,49.1
1,128,Tanh,Adam,0.001,0.8452,0.8843,0.4777,2,45.2
1,128,Sigmoid,Adam,0.01,0.8407,0.8663,0.4799,2,43.1
1,256,ReLU,Adam,0.001,0.8673,0.8890,0.3914,3,84.3
1,256,Tanh,Adam,0.001,0.8604,0.8892,0.4216,2,47.3
1,256,Sigmoid,Adam,0.01,0.8532,0.8762,0.4369,2,42.4
2,"256,128",ReLU,RMSprop,0.001,0.8676,0.8872,0.3886,2,58.6
2,"256,128",Tanh,Adam,0.001,0.8616,0.8873,0.4026,2,57.4
2,"256,128",Sigmoid,RMSprop,0.01,0.8550,0.8730,0.4291,2,63.4
2,"256,256",ReLU,Adam,0.001,0.8777,0.8939,0.3501,3,95.2
2,"256,256",Tanh,Adam,0.001,0.8666,0.8897,0.3845,2,62.0
2,"256,256",Sigmoid,RMSprop,0.01,0.8615,0.8800,0.4043,2,58.5
